SizeCategory,TotalCHYear1,Learners1,TotalCHYear2,Learners2,TotalCHYear3,Learners3,GradPR,VAF,Institution,Region,GPercentFemale,MissingFlag,ID,CHperLearner_Yr1,CHperLearner_Yr2,CHperLearner_Yr3,CHperLearner,OutlierFlag
Large-Medium,978111,4350,1046620,4097,939320,4238,0.7555529,0.3811875,FE College,North West,51,Complete,114,224.85310345,255.46009275,221.6422841,233.9851601,Normal
Large-Medium,456640,1599,,,,,0.9194687,0.4897715,FE College,North West,51,Year2_Missing,115,285.57848655,,,285.57848655,Normal
Small-Medium,1262727,9551,1206378,6923,,,0.8568196,0.3183812,FE College,North West,51,Year3_Missing,116,132.20887865,174.25653618,,153.23270742,Normal
Small-Medium,2967919,25025,2843999,18193,2348969,14189,0.764944,0.3631424,FE College,North West,51,Complete,117,118.59816184,156.32380586,165.54859398,146.82352056,Normal
Medium,1397660,8760,1954501,7805,1723031,6829,0.9728228,0.3518235,FE College,North West,51,Complete,118,159.55022831,250.41652787,252.31088007,220.75921208,Normal
Large-Medium,2666073,10775,2853240,9597,2733765,9511,0.8358198,0.4584419,FE College,North West,51,Complete,119,247.43136891,297.30540794,287.43192093,277.38956593,Normal
Small-Medium,1008369,8522,1141827,5500,921851,6925,0.7404132,0.3519333,FE College,North West,51,Complete,120,118.3253931,207.60490909,133.11927798,153.01652672,Normal
Small,700371,10026,661034,5875,,,0.8265514,0.366342,FE College,North West,51,Year3_Missing,121,69.855475763,112.51642553,,91.185950647,Normal
Large-Medium,2218940,8875,2087377,6917,2004658,6287,0.7860292,0.4668983,FE College,North West,51,Complete,122,250.02140845,301.77490241,318.85764275,290.21798454,Normal
Medium,1575896,8793,,,,,0.75439,0.3614784,FE College,North West,51,Year2_Missing,123,179.22165359,,,179.22165359,Normal
Small-Medium,1450509,11692,1377859,8411,1147904,8773,0.7078164,0.4301118,FE College,North West,51,Complete,124,124.05995553,163.81631197,130.8450929,139.5737868,Normal
Medium,2720431,13562,2636535,12225,2269790,10831,0.8565142,0.4612154,FE College,North West,51,Complete,125,200.5921693,215.66748466,209.56421383,208.60795593,Normal
Large-Medium,2165952,8966,2523909,9427,2333575,8471,0.7683659,0.4616523,FE College,North West,51,Complete,126,241.57394602,267.73194017,275.47810176,261.59466265,Normal
Medium,2214812,11202,2086572,8847,1886083,8754,0.8783138,0.3671229,FE College,North West,51,Complete,127,197.71576504,235.85079688,215.45384967,216.3401372,Normal
Large-Medium,1839509,8962,1917112,9169,1972164,7105,0.7309993,0.400075,FE College,North West,51,Complete,128,205.25652756,209.08626895,277.57410274,230.63896642,Normal
Medium,,,1538788,8212,2491515,14078,0.9327435,0.4757603,FE College,North West,51,Year1_Missing,129,,187.38285436,176.97932945,182.1810919,Normal
Small-Medium,1127977,7495,1153466,6557,936856,4894,0.8732324,0.389976,FE College,North West,51,Complete,130,150.49726484,175.91368004,191.42950552,172.61348347,Normal
Small,2128274,22615,2037190,15823,1795757,13690,0.7519008,0.4713658,FE College,North West,51,Complete,131,94.108954234,128.74865702,131.17289993,118.01017039,Normal
Medium,3183979,16760,2905445,12511,2531688,13486,0.7789032,0.4181574,FE College,North West,51,Complete,132,189.97488067,232.23123651,187.72712443,203.31108054,Normal
Small-Medium,2265598,15205,2015205,13349,1780842,12105,0.8475034,0.4367003,FE College,North West,51,Complete,133,149.0034857,150.96299348,147.11623296,149.02757071,Normal
Small-Medium,1389864,11031,1523451,8177,1404430,7563,0.7864433,0.3943545,FE College,South East,51,Complete,134,125.99619255,186.30928213,185.69747455,166.00098308,Normal
Large-Medium,1534666,7036,1420660,5939,1348805,5963,0.7892294,0.4343,FE College,South East,51,Complete,135,218.11625924,239.20862098,226.19570686,227.84019569,Normal
Medium,832796,4507,998660,4493,794329,4451,0.8259923,0.3588584,FE College,South East,51,Complete,136,184.7783448,222.27019809,178.46079533,195.1697794,Normal
Small-Medium,1662692,11649,1727813,10049,1304472,9021,0.7988242,0.4338097,FE College,South East,51,Complete,137,142.73259507,171.93879988,144.60392418,153.09177304,Normal
Small,926093,10363,967328,8051,799658,8417,0.8307333,0.4260727,FE College,South East,51,Complete,138,89.365338223,120.15004347,95.005108709,101.50683013,Normal
Medium,1910227,12960,2065400,10568,2062351,10305,0.8225483,0.4333408,FE College,South East,51,Complete,139,147.39405864,195.43906132,200.13110141,180.98807379,Normal
Medium,1684355,10885,1627989,7071,1856884,7496,0.8446698,0.4610819,FE College,South East,51,Complete,140,154.74092788,230.23462028,247.71664888,210.89739901,Normal
Large-Medium,2848782,11059,2990898,9823,2799327,8949,0.8790595,0.4458088,FE College,South East,51,Complete,141,257.59851704,304.47907971,312.8089172,291.62883798,Normal
Medium,2054414,13379,2583653,12061,2261489,11446,0.7964376,0.3383632,FE College,South East,51,Complete,142,153.5551237,214.21548794,197.57897956,188.44986373,Normal
Large-Medium,3734134,14508,3874312,13669,3500597,13080,0.8042098,0.50813,FE College,South East,51,Complete,143,257.38447753,283.43785207,267.62974006,269.48402322,Normal
Large-Medium,1962470,9432,1883972,6835,1622640,6273,0.6640361,0.3480559,FE College,South East,51,Complete,144,208.06509754,275.63599122,258.67049259,247.45719378,Normal
Small-Medium,715325,4463,663690,3943,,,0.7784112,0.434512,FE College,South East,51,Year3_Missing,145,160.27896034,168.32107532,,164.30001783,Normal
Small-Medium,2074104,12469,2003689,11589,1795728,10567,0.8406628,0.4542146,FE College,South East,51,Complete,146,166.3408453,172.89576322,169.93735213,169.72465355,Normal
Medium,1055583,6357,1073816,5039,1074179,4958,0.8648533,0.5101992,FE College,South East,51,Complete,147,166.05049552,213.10101211,216.65570795,198.60240519,Normal
Small,1097926,11020,1115187,10504,975685,9968,0.7589873,0.4481188,FE College,South East,51,Complete,148,99.63030853,106.16784082,97.881721509,101.22662362,Normal
Large-Medium,1217440,4831,1277269,4323,1253122,3747,0.774546,0.4668569,FE College,South East,51,Complete,149,252.0057959,295.45894055,334.4334134,293.96604995,Normal
Medium,1737336,8932,1709405,8316,1549758,7686,0.813442,0.4258647,FE College,South East,51,Complete,150,194.50694133,205.55615681,201.63387978,200.56565931,Normal
Medium,2636850,16631,2860457,13694,3091433,11825,0.7217896,0.3643761,FE College,South East,51,Complete,151,158.55029764,208.88396378,261.43196617,209.62207586,Normal
Medium,1469858,6903,1388169,6410,1064209,6056,0.8606661,0.341181,FE College,South East,51,Complete,152,212.93032015,216.56302652,175.72803831,201.74046166,Normal
Small-Medium,2108902,13542,1980102,11137,1813600,11195,0.8033337,0.4102038,FE College,South East,51,Complete,153,155.73046817,177.79491784,162.00089326,165.17542642,Normal
Small-Medium,1095012,7451,1440577,8701,1224334,8733,0.7128702,0.4262985,FE College,South East,51,Complete,154,146.9617501,165.56453281,140.19626703,150.90751665,Normal
Large,3561320,10964,3474369,8757,2953360,8094,0.9058539,0.3051444,FE College,South East,51,Complete,155,324.81940897,396.75334018,364.88262911,362.15179276,Normal
Small-Medium,1864670,15448,2811858,18743,2840880,17690,0.7330497,0.4519756,FE College,South East,51,Complete,156,120.70624029,150.02176813,160.5924251,143.77347784,Normal
Small,780221,9904,782027,7590,641410,6319,0.7922821,0.3822596,FE College,South East,51,Complete,157,78.778372375,103.03386034,101.50498497,94.439072561,Normal
Small-Medium,1452178,12159,1713491,10892,1733833,10737,0.8276156,0.5406887,FE College,South East,51,Complete,158,119.43235463,157.3164708,161.48207134,146.07696559,Normal
Large-Medium,2433229,11795,2485045,10391,2312231,10044,0.848521,0.3584838,FE College,South East,51,Complete,159,206.29325986,239.15359446,230.21017523,225.21900985,Normal
Medium,1772836,10493,1940110,8660,1537140,8438,0.743384,0.4052891,FE College,South East,51,Complete,160,168.95415992,224.03117783,182.16876037,191.7180327,Normal
Medium,2877082,16483,2671513,13122,2170030,11604,0.776751,0.5097571,FE College,South East,51,Complete,161,174.54844385,203.59038256,187.00706653,188.38196431,Normal
Large-Medium,3266193,12933,3158156,11781,3177849,11439,0.9267678,0.4804416,FE College,South East,51,Complete,162,252.54720482,268.07198031,277.80828744,266.14249086,Normal
Small-Medium,1873534,16106,1711939,10585,1357658,13071,0.9348949,0.44479,FE College,South East,51,Complete,163,116.32522041,161.73254606,103.86795195,127.30857281,Normal
Small,1448029,12703,1264889,9726,1012590,8856,0.8547111,0.4754249,FE College,South East,51,Complete,164,113.99110446,130.05233395,114.33943089,119.46095644,Normal
Large-Medium,3987677,17167,4057477,16029,3720150,15137,0.7829533,0.3362005,FE College,South East,51,Complete,165,232.28735364,253.13350802,245.7653432,243.72873495,Normal
Small-Medium,2654646,20056,2747538,15284,,,0.8666001,0.4041419,FE College,South East,51,Year3_Missing,166,132.36168728,179.76563727,,156.06366227,Normal
Medium,1417354,7732,1346785,6680,1190106,6616,0.9799169,0.4406954,FE College,South East,51,Complete,167,183.31013968,201.61452096,179.88301088,188.26922384,Normal
Large,1192940,3165,1229451,3149,1268782,3114,0.85603,0.442179,FE College,South East,51,Complete,168,376.91627172,390.42584948,407.44444444,391.59552188,Normal
Medium,1960896,12341,1789942,8541,2000111,9838,0.7692618,0.3893015,FE College,South East,51,Complete,169,158.89279637,209.57054209,203.30463509,190.58932452,Normal
Medium,3386527,20346,3296366,15467,2524174,14082,0.8421299,0.3725422,FE College,South West,51,Complete,170,166.44682001,213.12251891,179.24826019,186.27253304,Normal
Medium,3068064,15553,3124385,14800,3127869,13942,0.858667,0.5004774,FE College,South West,51,Complete,171,197.26509355,211.10709459,224.34865873,210.90694896,Normal
